data;id;command
2020-05-06;855783532;/start
2020-05-06;855783532;command c
2020-05-06;855783532;command c
2020-05-06;855783532;command a
2020-05-06;855783532;command a
2020-05-06;855783532;command b
2020-05-06;855783532;command b
2020-05-06;855783532;command c
2020-05-06;855783532;command c
2020-05-06;855783532;command a
2020-05-06;855783532;command a
2020-05-06;855783532;command a
2020-05-06;855783532;txt
2020-05-06;855783532;/text
2020-05-06;855783532;statistics
2020-05-06;855783532;statistics 2 command
2020-05-06;855783532;/start
2020-05-06;855783532;команда а
2020-05-06;855783532;команда а
2020-05-06;855783532;команда а
2020-05-06;855783532;cтатистика 2 пользователи команды
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;команда а
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;команда б
2020-05-06;855783532;команда а
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;cтатистика 2 пользователи команды
2020-05-06;855783532;Cтатистика 2 команды
2020-05-06;855783532;Cтатистика 2 пользователи команды
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;Статистика 2 пользователи команды txt
2020-05-06;855783532;Статистика 2 пользователи команды TXT
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;команда а
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;Cтатистика 2 пользователи команды
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;команда а
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;команда а
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;команда в
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;команда а
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;Cтатистика 2 пользователи команды
2020-05-06;855783532;Cтатистика 2 команды
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;/start
2020-05-06;855783532;/text
2020-05-06;855783532;/command
2020-05-06;855783532;команда а
2020-05-06;855783532;команда б
2020-05-06;855783532;команда б
2020-05-06;855783532;Cтатистика 2 пользователи команды
2020-05-06;855783532;Cтатистика 2 команды
2020-05-06;855783532;Статистика 2 пользователи команды тхт
2020-05-06;855783532;/start
2020-05-06;855783532;/command
2020-05-06;855783532;/text
2020-05-06;855783532;команда а
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;команда б
2020-05-06;855783532;команда в
2020-05-06;855783532;статистика 2 команды
2020-05-06;855783532;статистика 2 пользователи команды
2020-05-06;855783532;статистика 2 пользователи команды тхт
2020-05-06;855783532;Статистика 2 пользователи команды тхт
